Number of Pickers,Cycle Time,picker utilization,Orders per Labour Hour,Throughput
1,270.51917,0.099847319,174.0156892,17.40413854
1,243.36566,0.110520082,174.1764904,19.26411569
1,262.00525,0.109412215,172.5127314,18.92867035
1,251.03285,0.104225498,177.4997513,18.63704983
1,253.41559,0.109807192,175.3072779,19.33660369
1,246.64098,0.115012003,171.7212065,19.81021989
1,262.60745,0.105263998,173.3736168,18.29222561
1,256.49844,0.109570303,172.2638301,18.97411329
1,257.63565,0.094279703,177.6628413,16.84196265
1,252.02165,0.113814398,170.2332947,19.4837034
1,270.66794,0.103616584,160.5139169,16.66219342
1,279.69638,0.10026078,169.5578268,17.03623166
1,281.58725,0.102328843,172.2388276,17.80993218
1,253.52919,0.107638552,174.1940929,18.75927238
1,268.57214,0.103910086,168.4148355,17.61106081
1,263.02295,0.098775023,175.9047932,17.40275933
1,258.58957,0.108725884,165.5539545,18.06516545
1,253.37779,0.107673642,171.8154946,18.50689064
1,258.72278,0.1070157,169.3676722,18.29939787
1,259.38907,0.110175334,170.1832824,18.87582058
1,245.40898,0.109291933,170.8675138,18.75258082
1,264.32645,0.108370355,169.5574407,18.37890279
1,237.02667,0.110508673,176.4567382,19.53125773
1,267.00375,0.102521611,171.9149727,17.63721332
1,286.6149,0.103912769,169.6134187,17.63908592
1,271.26712,0.110186264,167.897516,18.5657917
1,237.9474,0.113870037,174.5410867,19.99431875
1,253.70654,0.116616434,168.2867445,19.82379379
2,252.34761,0.056973755,168.2595774,19.25030498
2,257.32492,0.058413883,169.1800564,19.63888457
2,251.38243,0.053814763,169.7003323,18.27449161
2,253.85103,0.0542805,174.0559181,18.95684146
2,262.0826,0.054985051,170.5008872,18.80277129
2,261.74564,0.052395296,172.1704848,18.2454484
2,234.72478,0.057238339,174.5501043,19.90421427
2,284.2108,0.051188343,170.2995846,17.42420049
2,249.69592,0.055043127,175.126589,19.1860855
2,266.49606,0.055069933,171.1923096,18.80305949
2,247.59236,0.053000249,176.9527871,18.80635815
2,266.0019,0.054758134,164.8117549,18.05365281
2,255.69768,0.055367155,171.5818707,19.05410971
2,266.66638,0.051209843,174.7008544,17.99159353
2,273.36017,0.053746924,168.6143013,18.2380884
2,254.2535,0.055430505,175.8959246,19.50083853
2,269.14108,0.052687216,170.4005517,17.92719531
2,278.48752,0.050828156,167.2301475,17.05203508
2,268.94983,0.053977689,167.4275822,18.04783199
2,238.71977,0.056389792,174.3190068,19.66812329
2,248.41536,0.057940956,167.3621578,19.53675623
2,244.42998,0.056097172,170.4631399,19.17134526
2,241.90904,0.05479553,173.6653495,19.03739689
2,263.95407,0.055976148,169.715145,19.16041185
2,271.6028,0.053613514,170.1996269,18.26991041
2,244.57935,0.054587207,177.4683216,19.39387282
2,263.3688,0.052661942,173.4438888,18.16894064
2,269.02762,0.051966023,170.7846699,17.76820732
3,269.40665,0.03431582,169.989623,17.58956293
3,260.19687,0.037451266,169.1086579,19.07230346
3,250.07237,0.037825897,169.6865339,19.18957876
3,270.52362,0.036402966,169.8480499,18.56991621
3,264.32883,0.034194196,177.9172062,18.27964627
3,267.17905,0.033718662,171.7644284,17.39251755
3,250.60376,0.037956668,168.2718467,19.24568824
3,246.96858,0.035411052,174.1452544,18.60286864
3,262.75107,0.034625203,169.6740977,17.68998719
3,266.05313,0.036000869,172.666404,18.72335728
3,245.94969,0.037010408,173.4882199,19.31828704
3,253.61806,0.03475421,171.7662093,17.96847598
3,254.17473,0.038586945,164.8229559,19.14690506
3,258.0668,0.034923136,168.3164945,17.6217606
3,274.93472,0.034436723,163.5667202,16.93555223
3,272.4648,0.034718459,171.6186004,18.01844193
3,299.8413,0.034136568,163.9526359,16.85910757
3,263.84653,0.034691278,173.3976601,18.10356503
3,264.51437,0.03575011,172.6205892,18.56033355
3,261.13937,0.036068225,169.8170625,18.46227392
3,282.2783,0.036062636,166.3722978,17.94342465
3,246.16626,0.035617349,172.00864,18.46599189
3,251.23259,0.034964979,179.9419559,18.90859703
3,253.51689,0.038781533,166.5311504,19.40209884
3,263.13705,0.032126181,173.0997371,16.65181103
3,251.78307,0.036344813,174.4013018,19.02376381
3,250.1049,0.033568553,170.4519757,17.17881531
3,278.56696,0.036336694,164.9067261,18.24508559
4,250.00612,0.026953923,170.4297393,18.38766304
4,261.61484,0.027095733,165.3178182,18.00260646
4,272.6484,0.026629217,169.0056823,18.03502259
4,259.51993,0.027958098,167.2786574,18.73778763
4,274.5515,0.026930057,175.2224318,18.97561089
4,269.0789,0.026659284,169.9887839,18.17771397
4,269.65158,0.025930543,178.7498401,18.6258029
4,248.96625,0.027087437,173.0507022,18.85670206
4,275.14868,0.022999667,179.3504236,16.55437321
4,248.86055,0.027713052,170.8188704,18.88634184
4,264.8246,0.026154613,172.3555457,17.91577892
4,257.08682,0.026211295,173.3342436,18.14535544
4,263.29697,0.027300161,168.2682353,18.38091193
4,257.75037,0.027237367,172.2889931,18.78059554
4,262.50555,0.025018537,178.6175559,17.9620816
4,258.0988,0.02522325,180.3076553,18.23963655
4,248.2267,0.025866707,175.3972433,18.20156952
4,261.14316,0.027723158,169.4229394,18.97232307
4,261.86832,0.026927039,176.4026095,19.04773951
4,266.6477,0.026847119,169.0920748,18.20943372
4,266.95047,0.027450861,170.9515606,18.84546596
4,260.74594,0.029040067,169.1122075,19.69520898
4,295.01376,0.023870509,171.6446608,16.37061089
4,260.9579,0.026961222,175.0978398,18.97373135
4,267.1807,0.026158263,169.6404703,17.82902667
4,261.4857,0.025999417,173.3636015,18.05235137
4,253.25256,0.027438191,170.1780576,18.55928252
4,275.20016,0.026576246,169.9306455,18.17074318
5,251.63184,0.021992463,179.6069865,19.80401218
5,253.16087,0.020784502,171.3537749,17.96251002
5,238.06453,0.023196291,176.169123,20.47939323
5,273.4212,0.020042326,171.2082222,17.37046608
5,249.70703,0.020400503,177.6916981,18.20558433
5,246.27757,0.022321779,171.3573092,19.12970166
5,245.30388,0.021761843,171.9635918,18.68972194
5,257.2092,0.022787457,170.0496928,19.40745019
5,263.52664,0.021155825,171.3702482,18.13064793
5,264.03992,0.021172967,172.3896348,18.4110298
5,260.51233,0.021611067,176.9926465,19.17049309
5,239.83348,0.022883459,171.3072158,19.66693421
5,250.81898,0.02240871,170.5736781,19.07102258
5,250.07976,0.021261009,176.379215,18.8793963
5,279.28094,0.021759333,163.1961703,17.89696455
5,266.53586,0.022643208,164.2985831,18.49911814
5,268.724,0.021378207,167.2263715,17.93169356
5,249.49449,0.021038021,177.2402351,18.69759742
5,268.259,0.021325135,170.4826368,18.20278298
5,279.65164,0.020755993,172.23941,17.89645611
5,255.24416,0.019718986,174.9582856,17.35321978
5,257.33862,0.020453364,176.1955191,18.05151667
5,244.06456,0.022604152,171.4286832,19.39922629
5,251.53636,0.021347694,166.6498811,17.77337562
5,279.41245,0.019397729,176.5670593,17.14247755
5,255.89062,0.021370948,173.3551268,18.59143672
5,269.03262,0.021965509,170.7221976,18.84145783
5,281.81058,0.021229941,166.2133069,17.67897526
6,256.67667,0.019009318,164.4728173,18.82969237
6,262.84476,0.017936043,176.3511944,18.94052855
6,295.3455,0.017056658,169.6143414,17.28020029
6,257.41055,0.018222215,170.3506808,18.62874047
6,259.34448,0.018740152,171.2010295,19.39011758
6,247.34877,0.018015499,172.3053361,18.75873391
6,269.82236,0.018351894,160.8363797,17.64926793
6,267.56046,0.017459435,174.2259099,18.30020602
6,255.33447,0.017304544,172.9044842,17.94041659
6,249.07707,0.017605281,175.1731703,18.6381139
6,259.51926,0.018966285,165.8645014,19.01042601
6,265.6879,0.018279967,176.227547,19.30171096
6,257.17224,0.018070871,170.6912267,18.55041444
6,246.8666,0.017135203,176.2939935,18.18535659
6,265.99756,0.01838975,166.4330914,18.35717673
6,247.24768,0.017967598,176.2431876,19.0604216
6,268.9815,0.01747902,169.0748801,17.70103543
6,248.99626,0.018037582,170.3371256,18.63496929
6,243.3219,0.018524806,174.3997342,19.46886421
6,264.62283,0.017843899,171.6272866,18.45839805
6,279.1826,0.016493152,167.9990199,16.75675382
6,246.66325,0.018849469,174.8018408,19.80703169
6,288.2704,0.016183292,173.0603056,16.90706362
6,264.72983,0.018713577,167.1633569,18.71725633
6,275.63196,0.016139519,172.9708758,16.76820307
6,275.21152,0.017081027,171.7480706,17.4841206
6,284.73013,0.015104106,182.0566015,16.4972392
6,256.17142,0.018376155,170.0573379,18.815299
7,279.75934,0.014534998,176.9129001,18.09014854
7,270.8174,0.015349902,166.3575088,17.97322418
7,261.49057,0.014597007,172.5235765,17.62637816
7,263.5944,0.016164098,164.2091672,18.63256754
7,266.69693,0.014460464,179.0596502,18.17641336
7,272.9627,0.014567722,171.612284,17.59105389
7,250.69482,0.016473529,165.8504913,19.13446108
7,257.38226,0.016166029,173.7995158,19.83046272
7,255.89946,0.014790609,178.7943652,18.65732395
7,251.14546,0.014291864,177.4236263,17.82017439
7,247.1367,0.015617458,170.9422595,18.70884867
7,261.50766,0.015096269,173.0059286,18.26006459
7,255.05133,0.015676566,173.905881,19.09384971
7,278.96823,0.013663026,179.0546617,17.28142228
7,243.40674,0.01524487,173.9829061,18.590172
7,258.99704,0.014840564,173.8988442,18.01732855
7,275.25308,0.014922733,172.3161955,18.14089728
7,259.40256,0.015860511,176.9132144,19.73474054
7,256.5444,0.015539555,173.5203205,18.92714368
7,267.05917,0.013274515,178.9142604,16.70105326
7,245.77742,0.015396603,175.9664608,19.01112999
7,273.6301,0.015739524,164.5658137,18.04322584
7,266.9495,0.01431351,172.1650168,17.34734706
7,243.5223,0.016589145,168.4251543,19.60092248
7,253.70142,0.014351191,175.4458644,17.81383771
7,270.48123,0.015050838,167.8326929,17.73851343
7,243.78723,0.016119368,171.710032,19.40345374
7,271.5022,0.014815797,171.4650407,17.63804566
8,264.3712,0.013694692,166.8367391,18.36598199
8,263.30145,0.013019258,174.195264,18.17692953
8,254.62468,0.013406715,177.574124,19.07942589
8,248.58594,0.013721335,170.810644,18.81372398
8,248.51677,0.014146332,171.6756736,19.4868999
8,263.9929,0.012577602,168.6380067,16.93710613
8,264.81992,0.013966048,164.7774837,18.49755781
8,248.86394,0.014472039,172.4765803,19.8939726
8,241.08209,0.014340286,168.0404396,19.36058768
8,264.60715,0.01218375,176.977538,17.30458251
8,250.05122,0.014312968,170.3001128,19.57060774
8,276.29044,0.012573767,172.0693113,17.25593323
8,255.33833,0.01301202,178.1330647,18.59110129
8,272.86066,0.012948368,172.5603503,17.94980313
8,251.7345,0.01374863,172.7444881,19.17819907
8,269.90955,0.012424278,176.0665648,17.72353568
8,246.6618,0.013211703,173.6569111,18.37230173
8,270.29602,0.013198256,175.4036991,18.53886089
8,300.3512,0.012022155,171.5582639,16.70965027
8,275.1299,0.011833745,176.9304644,16.81798764
8,261.0455,0.013262711,174.0948607,18.33619379
8,261.9389,0.013618925,170.1233602,18.44443072
8,260.29367,0.013742131,169.6825241,18.70709358
8,239.78192,0.015188438,168.1314522,20.3880231
8,267.10977,0.012997616,171.0187322,17.66903054
8,272.6436,0.013170573,170.8353922,18.09552746
8,253.63087,0.013779914,171.2860602,18.90806144
8,257.56738,0.014165576,168.22391,19.0759565
9,251.17088,0.013107395,166.4382966,19.7292652
9,251.3112,0.01229987,169.5550321,18.76710121
9,285.36478,0.011548965,167.858243,17.44009414
9,239.39087,0.011835207,178.3755061,19.01918271
9,240.70891,0.011464348,178.0995494,18.41311425
9,254.62573,0.011812432,171.6647199,18.4070305
9,256.91626,0.010963194,178.7270709,17.6269383
9,256.10645,0.012423231,173.1570752,19.27877161
9,254.64067,0.012235053,170.2837958,18.81321092
9,274.3374,0.012019925,173.7426021,18.91104792
9,287.67297,0.011173736,168.4840806,16.89079451
9,273.8964,0.012002917,172.8014019,18.64267136
9,237.73035,0.012415887,179.7117704,20.06998992
9,257.83594,0.011471607,176.7649255,18.30489209
9,251.415,0.011751804,174.3594762,18.44703955
9,262.63528,0.01239641,168.520312,18.79064416
9,254.10918,0.01176566,177.2852993,18.91459975
9,251.0826,0.012421954,169.6178485,18.92454388
9,241.5028,0.012906598,173.2533386,20.40439282
9,276.6787,0.011924501,168.8866416,18.26934848
9,236.94933,0.012702203,173.8543607,19.98440297
9,262.90964,0.011106492,176.1678491,17.5948619
9,270.2772,0.011259691,175.8868555,17.79169368
9,265.2856,0.011317713,174.7324248,17.81809203
9,266.06436,0.012097402,169.2433145,18.3922878
9,260.56024,0.0118299,167.8890934,17.87611223
9,259.80112,0.011347857,173.7968887,17.86724567
9,257.4125,0.011967358,164.8001387,17.80985397
10,265.92294,0.010381478,166.1613038,17.3396755
10,270.10925,0.00976084,171.6040902,16.81171457
10,272.4668,0.010253404,172.067684,17.70755774
10,250.5428,0.010930479,172.6822718,19.04339833
10,241.11827,0.010976392,168.5435448,18.68309868
10,253.60277,0.00991669,174.1347085,17.40044841
10,284.97037,0.009966898,168.0563069,16.79504782
10,248.31427,0.010775436,171.4646584,18.49067098
10,241.3433,0.011500479,169.55816,19.60044965
10,265.6797,0.010551209,171.3293498,18.09643112
10,263.4288,0.010467407,174.3507232,18.54218603
10,257.48917,0.010483637,170.5038056,17.8850886
10,270.6102,0.010353765,179.8862585,18.81747053
10,278.95947,0.010579858,165.4086467,17.55486479
10,277.37433,0.010193748,166.8534023,17.12666603
10,261.29092,0.010805278,172.5169527,18.67685453
10,264.12036,0.010599823,167.8348493,17.7975988
10,249.21455,0.011224245,168.1627528,18.96121283
10,265.7142,0.010022703,175.3911238,17.69423983
10,272.40955,0.010519788,166.353165,17.60757767
10,276.2924,0.010000307,171.244736,17.30890756
10,259.47217,0.011364881,171.8083796,19.54953444
10,278.1533,0.010308675,169.7599423,17.50072113
10,256.438,0.011380137,172.4671238,19.72835002
10,237.20728,0.011685254,170.1531522,19.93355394
10,258.94736,0.010040437,178.1089596,17.82828164
10,258.88315,0.010608291,172.0352585,18.41838163
10,241.07036,0.010687941,175.2758009,18.67447371
